file_name,amount,bank,currency,date,txn_id
cbe_sms_1.jpeg,9500.00,Commercial Bank of Ethiopia,ETB,Null,Null
cbe_screenshot_1.jpg,25000.00,Commercial Bank of Ethiopia,ETB,4/4/2026,FT26094X0XVY
cbe_sms_2.jpeg,350.00,Commercial Bank of Ethiopia,ETB,4/15/2026,Null
photo_1@18-04-2026_10-57-45.jpg,2850.00,Commercial Bank of Ethiopia,ETB,3/11/2026,FT26070Y9N1S
photo_2@18-04-2026_10-57-45.jpg,400.00,EBIRR-COOPay,ETB,3/11/2026,2153572923
photo_3@18-04-2026_10-57-45.jpg,170.00,EBIRR-KAAFI,ETB,3/11/2026,801659814223
photo_4@18-04-2026_10-57-45.jpg,1050.00,EBIRR-COOPay,ETB,3/11/2026,2154437837
photo_5@18-04-2026_10-57-45.jpg,1800.00,EBIRR-KAAFI,ETB,3/12/2026,801663342644
photo_6@18-04-2026_10-57-45.jpg,1850.00,Commercial Bank of Ethiopia,ETB,3/12/2026,FT26071HKVHD
photo_7@18-04-2026_10-57-45.jpg,1550.00,EBIRR-KAAFI,ETB,3/13/2026,801666818422
photo_8@18-04-2026_10-57-45.jpg,315.00,EBIRR-COOPay,ETB,3/13/2026,2160548437
photo_9@18-04-2026_10-57-46.jpg,477.00,TeleBirr,ETB,3/13/2026,DCD1Q41MVH
photo_10@18-04-2026_10-57-46.jpg,550.00,Commercial Bank of Ethiopia,ETB,3/13/2026,FT26072740ZV
photo_11@18-04-2026_10-57-46.jpg,2000.00,EBIRR-KAAFI,ETB,3/14/2026,801670155929
photo_12@18-04-2026_10-57-46.jpg,5100.00,Commercial Bank of Ethiopia,ETB,3/14/2026,FT26073CRSVI
photo_13@18-04-2026_10-57-46.jpg,730.61,Commercial Bank of Ethiopia,ETB,3/14/2026,FT26073SXNBH
photo_14@18-04-2026_10-57-46.jpg,91.00,TeleBirr,ETB,3/14/2026,DCE1R9M4D1
photo_15@18-04-2026_10-57-46.jpg,150.00,Awash Bank,ETB,3/14/2026,260314112165749
